instance_file,n_items,capacity,dp_value,dp_weight,dp_feasible,dp_time_ms,gnn_value,gnn_weight,gnn_feasible,gnn_time_ms,gap_gnn,dqn_value,dqn_weight,dqn_feasible,dqn_time_ms,gap_dqn,dp_selected_items,gnn_selected_items,dqn_selected_items
instance_0878.npz,117,277.0,356.0,277.0,1,0.832499994430691,350.0,277.0,1,1.909599988721311,0.016853932584269662,309.0,275.0,1,16.67380001,0.13202247191011235,"[4, 72, 104]","[12, 23, 34, 72, 90, 104]","[0, 1, 2, 4, 13, 31, 34, 35, 90]"
instance_0879.npz,96,360.0,452.0,360.0,1,0.9744999988470227,438.0,358.0,1,1.867399987531826,0.030973451327433628,354.0,360.0,1,13.27560001,0.2168141592920354,"[5, 19, 46, 61, 63, 81]","[43, 46, 61, 63, 66, 87]","[0, 1, 2, 4, 5, 6, 90]"
instance_0880.npz,144,663.0,842.0,663.0,1,3.131499979645014,830.0,663.0,1,2.0244999905116856,0.014251781472684086,717.0,663.0,1,20.01360001,0.14845605700712589,"[5, 13, 21, 24, 37, 50, 54, 80, 112, 120, 121, 128, 141]","[2, 5, 21, 24, 37, 46, 54, 80, 93, 112, 117, 118, 120, 121, 128]","[0, 1, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 18, 44, 49]"
instance_0881.npz,102,653.0,811.0,653.0,1,2.284899994265288,795.0,653.0,1,1.8865000165533274,0.01972872996300863,712.0,653.0,1,14.2611,0.1220715166461159,"[1, 5, 14, 17, 18, 19, 27, 37, 46, 49, 64, 73, 83, 85, 89, 90, 99]","[1, 3, 5, 18, 19, 46, 49, 60, 73, 83, 84, 85, 89, 100, 101]","[0, 1, 2, 4, 5, 6, 8, 9, 13, 14, 24, 52, 55]"
instance_0882.npz,145,413.0,520.0,413.0,1,1.8841999990399927,509.0,413.0,1,2.0176999969407916,0.021153846153846155,378.0,413.0,1,20.36560001,0.27307692307692305,"[39, 43, 50, 62, 66, 76, 87, 93, 123, 139, 141]","[56, 58, 62, 68, 76, 84, 87, 93, 96, 102, 118, 132, 133, 141]","[0, 1, 5, 16, 17, 20, 33, 35, 39, 68, 102]"
instance_0883.npz,94,613.0,777.0,613.0,1,1.8820000113919377,765.0,611.0,1,1.8207000102847815,0.015444015444015444,668.0,612.0,1,13.50619999,0.1402831402831403,"[17, 24, 27, 36, 37, 40, 43, 51, 61, 70]","[5, 17, 24, 28, 29, 36, 37, 43, 51, 61, 70]","[0, 1, 2, 3, 4, 5, 6, 7, 10, 12, 13]"
instance_0884.npz,89,279.0,354.0,279.0,1,0.672499998472631,344.0,278.0,1,1.6950999852269888,0.02824858757062147,313.0,279.0,1,12.09400001,0.11581920903954802,"[2, 9, 25, 38, 63, 85]","[21, 38, 63, 71, 82, 84, 85]","[0, 1, 4, 5, 36]"
instance_0885.npz,85,317.0,399.0,317.0,1,0.7442999922204763,387.0,315.0,1,1.727000024402514,0.03007518796992481,337.0,316.0,1,12.20929998,0.15538847117794485,"[32, 37, 38, 56, 57, 63, 79]","[3, 9, 14, 32, 38, 63, 73, 74, 79]","[0, 1, 2, 4, 5, 14]"
instance_0886.npz,85,407.0,512.0,407.0,1,1.0784000041894615,499.0,407.0,1,1.6948000120464712,0.025390625,434.0,407.0,1,11.81319999,0.15234375,"[6, 9, 11, 13, 21, 40, 50, 52, 58]","[31, 42, 52, 75, 84]","[0, 1, 2, 3, 4, 8, 9, 10, 11, 22, 71]"
instance_0887.npz,104,281.0,359.0,281.0,1,0.756800000090152,344.0,280.0,1,1.853800000390038,0.04178272980501393,338.0,281.0,1,14.3331,0.0584958217270195,"[1, 9, 50, 68]","[13, 19, 20, 26, 45, 52, 57, 88, 103]","[0, 1, 2, 9, 32, 45, 57]"
instance_0888.npz,195,213.0,272.0,213.0,1,0.9642000077292323,260.0,213.0,1,2.416899980744347,0.04411764705882353,210.0,213.0,1,27.05430001,0.22794117647058823,"[9, 26, 27, 85]","[8, 27, 32, 35, 69, 105, 131, 138, 176, 193]","[0, 1, 2, 5, 32]"
instance_0889.npz,149,565.0,711.0,565.0,1,2.7350999880582094,707.0,565.0,1,2.124200022080913,0.005625879043600563,622.0,564.0,1,20.71590003,0.12517580872011252,"[0, 12, 13, 17, 18, 25, 28, 50, 75, 131, 134, 137, 143]","[13, 17, 26, 28, 62, 68, 118, 121, 122, 131, 134, 137, 138, 143]","[0, 1, 2, 4, 5, 7, 12, 13, 14, 15, 18, 26, 68, 118, 121]"
instance_0890.npz,125,708.0,898.0,708.0,1,3.2276999845635146,887.0,708.0,1,1.9733000081032515,0.012249443207126948,744.0,708.0,1,17.3531,0.1714922048997773,"[3, 7, 45, 46, 68, 74, 76, 78, 90, 105, 108, 113, 115, 122]","[3, 9, 16, 46, 74, 76, 78, 95, 106, 113, 114, 115, 117, 122]","[0, 1, 2, 3, 4, 6, 7, 8, 10, 13, 14, 15, 16, 17, 19, 24, 46]"
instance_0891.npz,185,745.0,941.0,745.0,1,4.526100005023181,931.0,745.0,1,2.279200009070337,0.010626992561105207,866.0,743.0,1,26.20610001,0.07970244420828905,"[1, 2, 4, 7, 9, 23, 24, 25, 31, 55, 110, 160, 169, 174, 179, 181]","[4, 7, 9, 21, 23, 24, 31, 55, 58, 106, 132, 169, 174, 179, 184]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 22]"
instance_0892.npz,183,239.0,305.0,239.0,1,1.0734999959822744,298.0,239.0,1,2.2539999918080866,0.022950819672131147,220.0,239.0,1,27.75370001,0.2786885245901639,"[12, 38, 60, 87]","[1, 21, 26, 110, 120, 128, 137, 168]","[0, 1, 2, 3, 5, 12, 21, 33]"
instance_0893.npz,170,606.0,775.0,606.0,1,3.2380000047851354,766.0,606.0,1,2.1339000086300075,0.011612903225806452,666.0,606.0,1,26.0819,0.1406451612903226,"[1, 6, 22, 30, 39, 72, 82, 90, 119, 158]","[1, 3, 22, 24, 38, 39, 54, 72, 74, 82, 85, 119, 158, 163, 164]","[0, 1, 2, 4, 5, 6, 7, 8, 9, 13, 17, 38, 85]"
instance_0894.npz,196,715.0,910.0,715.0,1,4.578499996569008,905.0,715.0,1,2.2807999921496958,0.005494505494505495,788.0,714.0,1,32.78830001,0.13406593406593406,"[64, 78, 82, 86, 89, 93, 100, 139, 142, 146, 152, 166]","[15, 78, 82, 88, 89, 100, 139, 142, 160, 165, 166, 194]","[0, 1, 2, 4, 5, 6, 8, 10, 14, 17, 18, 26, 27, 30, 39]"
instance_0895.npz,93,403.0,510.0,403.0,1,1.1454999912530184,490.0,403.0,1,1.7128000035881996,0.0392156862745098,426.0,402.0,1,15.50750001,0.16470588235294117,"[7, 9, 10, 17, 31, 40, 45, 80]","[5, 15, 17, 31, 41, 42, 80, 86, 91]","[0, 1, 2, 3, 4, 7, 10, 11, 13, 15, 22, 41]"
instance_0896.npz,86,455.0,563.0,455.0,1,1.2365999864414334,551.0,450.0,1,1.6848999948706478,0.021314387211367674,509.0,455.0,1,14.01090002,0.09591474245115453,"[0, 12, 14, 38, 51, 54, 55, 65, 73]","[3, 4, 7, 14, 15, 51, 54, 55, 64, 65, 70, 73, 74, 75, 76]","[0, 1, 2, 3, 4, 5, 8, 9, 15, 75]"
instance_0897.npz,91,294.0,373.0,294.0,1,0.7326000195462257,367.0,294.0,1,1.7370999848935753,0.0160857908847185,316.0,294.0,1,14.6965,0.15281501340482573,"[8, 35, 56, 68, 70, 76, 78, 87]","[10, 14, 35, 39, 56, 68, 70, 87]","[0, 1, 4, 5, 8, 87]"
instance_0898.npz,176,509.0,646.0,509.0,1,2.720499993301928,633.0,507.0,1,2.142300014384091,0.020123839009287926,567.0,507.0,1,26.78279998,0.12229102167182662,"[1, 14, 19, 37, 57, 68, 94, 122, 137, 154]","[19, 42, 71, 83, 91, 93, 114, 137, 166]","[0, 1, 2, 3, 8, 13, 14, 15, 16, 21, 22, 63]"
instance_0899.npz,140,553.0,710.0,553.0,1,2.4339999945368618,699.0,553.0,1,1.9997000053990632,0.015492957746478873,631.0,551.0,1,21.14889998,0.11126760563380282,"[13, 17, 21, 30, 48, 51, 76, 88, 99]","[21, 48, 51, 70, 76, 88, 99, 107, 130]","[0, 1, 2, 3, 4, 12, 13, 16, 20, 32, 82]"
instance_0900.npz,154,797.0,1010.0,797.0,1,4.122699989238754,999.0,796.0,1,2.0573999790940434,0.01089108910891089,875.0,797.0,1,22.1264,0.13366336633663367,"[9, 15, 31, 37, 44, 64, 76, 77, 96, 97, 109, 145, 149]","[9, 15, 31, 37, 40, 52, 71, 76, 79, 96, 97, 109, 119, 121, 123, 145, 149]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 12, 14, 15, 16, 17, 31, 34, 121]"
instance_0901.npz,136,604.0,772.0,604.0,1,2.7821999974548817,760.0,604.0,1,1.972699974430725,0.015544041450777202,636.0,604.0,1,21.10440002,0.17616580310880828,"[7, 11, 41, 68, 69, 78, 81, 85, 100, 113, 121, 126]","[4, 7, 11, 41, 68, 69, 81, 85, 104, 106, 113, 121, 126, 132]","[0, 1, 2, 5, 6, 7, 8, 11, 12, 16]"
instance_0902.npz,142,458.0,581.0,457.0,1,2.0129000185988843,570.0,456.0,1,2.824499999405816,0.0189328743545611,503.0,455.0,1,21.80089999,0.1342512908777969,"[5, 19, 40, 67, 99, 113, 116]","[24, 47, 53, 67, 71, 99, 107, 108, 113, 116, 129]","[0, 1, 2, 3, 4, 5, 8, 10, 69]"
instance_0903.npz,135,502.0,642.0,502.0,1,2.3395000025629997,632.0,502.0,1,2.063099993392825,0.01557632398753894,546.0,502.0,1,20.42999998,0.14953271028037382,"[8, 17, 53, 78, 89, 117, 123, 131]","[8, 53, 74, 79, 94, 113, 121, 131]","[0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 14, 17, 24, 25, 28, 49, 54, 64, 94, 113]"
