instance_file,n_items,capacity,total_weight,total_value,feasible,inference_time_ms,selected_items
instance_0425.npz,132,750,750,931,1,3.5371000121813267,"[21, 23, 26, 29, 33, 44, 48, 56, 59, 95, 96, 100, 102]"
instance_0426.npz,98,660,660,827,1,2.2775999968871474,"[14, 18, 26, 36, 50, 55, 58, 71, 73, 75, 82, 83, 92]"
instance_0427.npz,121,543,543,678,1,2.1487000049091876,"[6, 11, 13, 22, 26, 55, 88, 91, 99, 103]"
instance_0428.npz,96,647,647,821,1,2.1702999947592616,"[12, 18, 23, 26, 41, 63, 74, 76, 87, 91]"
instance_0429.npz,199,353,353,451,1,1.9683999998960644,"[6, 61, 75, 78, 79, 114, 197]"
instance_0430.npz,123,624,624,788,1,2.665199979674071,"[3, 4, 5, 23, 33, 47, 54, 66, 74, 75, 91, 119]"
instance_0431.npz,95,340,340,430,1,0.9217000042553991,"[8, 10, 14, 35, 47, 66]"
instance_0432.npz,148,793,793,993,1,4.088699992280453,"[7, 26, 37, 47, 50, 61, 63, 65, 96, 105, 121, 124, 126, 141]"
instance_0433.npz,81,463,463,584,1,1.1648000217974186,"[0, 2, 6, 15, 21, 31, 34, 80]"
instance_0434.npz,197,755,755,959,1,5.55889998213388,"[12, 16, 33, 49, 90, 103, 117, 121, 137, 148, 151, 169, 185, 194]"
instance_0435.npz,112,321,321,408,1,1.0454000148456544,"[24, 28, 34, 41, 68]"
instance_0436.npz,174,253,253,325,1,1.1112999927718192,"[28, 36, 50, 90, 141]"
instance_0437.npz,143,257,257,328,1,0.9239000210072845,"[44, 72, 114, 127]"
instance_0438.npz,157,728,728,928,1,4.032999975606799,"[9, 25, 33, 37, 41, 44, 70, 79, 91, 107, 113, 122]"
instance_0439.npz,137,633,633,795,1,2.873600024031475,"[9, 12, 21, 30, 78, 81, 82, 83, 84, 93, 104]"
instance_0440.npz,123,698,698,888,1,2.966900006867945,"[16, 21, 33, 36, 37, 41, 42, 46, 48, 57, 110]"
instance_0441.npz,171,643,643,821,1,3.9778999926056713,"[5, 9, 18, 26, 32, 42, 127, 140, 142, 168]"
instance_0442.npz,110,543,543,682,1,1.9808999786619097,"[13, 16, 33, 37, 38, 61, 68, 78, 83, 92, 96]"
instance_0443.npz,172,684,684,858,1,3.9698000182397664,"[10, 28, 29, 36, 37, 71, 73, 79, 88, 90, 102, 161]"
instance_0444.npz,124,742,742,944,1,3.1629999866709113,"[10, 11, 28, 36, 44, 48, 49, 54, 68, 117, 121, 122]"
instance_0445.npz,159,758,758,957,1,4.35450000804849,"[9, 16, 19, 26, 38, 56, 58, 64, 65, 69, 75, 79, 84, 86, 112, 114, 127]"
instance_0446.npz,88,627,627,790,1,1.9677000236697495,"[0, 10, 12, 13, 14, 31, 38, 47, 53, 55, 60, 63, 86]"
instance_0447.npz,181,276,276,354,1,1.3105999969411641,"[6, 9, 33, 66, 85]"
instance_0448.npz,119,695,695,875,1,2.805099997203797,"[1, 4, 7, 15, 19, 33, 40, 46, 87, 97, 116]"
instance_0449.npz,119,704,704,870,1,2.8509999974630773,"[4, 12, 16, 19, 21, 22, 27, 35, 54, 59, 60, 67, 96, 103, 104, 106]"
instance_0450.npz,96,781,781,988,1,2.6873000024352223,"[5, 26, 29, 31, 33, 36, 37, 46, 62, 68, 78, 84]"
instance_0451.npz,85,481,480,605,1,1.344099990092218,"[13, 14, 20, 25, 46, 74, 76, 83]"
instance_0452.npz,163,409,409,518,1,1.9202999828848988,"[17, 42, 52, 53, 54, 74, 85, 130, 144]"
instance_0453.npz,139,222,222,283,1,0.7801000028848648,"[5, 13, 40, 49, 77]"
instance_0454.npz,194,454,454,575,1,2.6162000140175223,"[38, 70, 73, 94, 126, 128, 144, 164]"
instance_0455.npz,90,500,500,626,1,1.4811000146437436,"[2, 34, 43, 47, 52, 60, 69, 75, 86, 88]"
instance_0456.npz,113,545,545,691,1,1.9651000038720667,"[11, 13, 26, 31, 43, 53, 86, 89, 95, 98]"
instance_0457.npz,83,797,797,991,1,2.389299974311143,"[4, 5, 7, 10, 11, 26, 38, 40, 57, 59, 80]"
instance_0458.npz,176,434,434,548,1,2.3502999974880368,"[15, 36, 45, 56, 59, 74, 170, 174]"
instance_0459.npz,100,530,530,672,1,1.7096000083256513,"[1, 16, 23, 32, 33, 50, 51, 56, 73, 77, 84]"
instance_0460.npz,113,461,461,584,1,1.6367000062018633,"[19, 27, 38, 47, 65, 74, 91, 95]"
instance_0461.npz,192,776,776,997,1,5.132999998750165,"[13, 31, 33, 51, 75, 94, 130, 136, 167, 188, 191]"
instance_0462.npz,104,227,227,286,1,0.5734000005759299,"[38, 57, 94, 100]"
instance_0463.npz,145,427,427,544,1,1.864500023657456,"[6, 14, 21, 55, 56, 102, 124, 132]"
instance_0464.npz,147,322,322,410,1,1.378899993142113,"[45, 52, 70, 94, 108, 136]"
instance_0465.npz,99,614,614,782,1,2.0305000070948154,"[10, 12, 15, 20, 28, 35, 38, 39, 69, 86, 93]"
instance_0466.npz,132,356,356,456,1,1.2900000147055835,"[21, 24, 42, 75, 105, 130]"
instance_0467.npz,115,757,757,940,1,3.1629000150132924,"[9, 15, 27, 46, 56, 62, 68, 70, 72, 81, 93, 99, 102, 108]"
instance_0468.npz,159,736,736,937,1,3.9870000036899,"[2, 12, 28, 32, 39, 56, 70, 100, 101, 112, 119, 139, 141]"
